Category,German,English,Hindi
🌳 Nature & Weather,die Umwelt,environment,पर्यावरण
🌳 Nature & Weather,die Umweltverschmutzung,environmental pollution,पर्यावरण प्रदूषण
📚 School & Learning,die Universität,university,विश्वविद्यालय
🍎 Food,die Unsicherheit,uncertainty,अनिश्चितता
🚗 Transport & Travel,die Unterkunft,accommodation,रुकने की जगह
👤 Pronouns,die Unterschrift sammeln,to collect signatures,हस्ताक्षर इकट्ठा करना
👤 Pronouns,die Untersuchung,examination,जाँच
👤 Pronouns,die Untertitel,subtitles,उपशीर्षक
👤 Pronouns,die Verabredung,appointment,अपॉइंटमेंट
👤 Pronouns,die Veranstal-,event (prefix),कार्यक्रम
👤 Pronouns,die Veranstaltung,event,कार्यक्रम
🍎 Food,die Vergangenheit,past,अतीत
🏥 Health & Feelings,die Verletzung,injury,चोट
🎉 Celebrations,die Verlobung,engagement,सगाई
👤 Pronouns,die Verschmutzung,pollution,प्रदूषण
🚗 Transport & Travel,die Versicherung,insurance,बीमा
🚗 Transport & Travel,die Versicherungskarte,insurance card,बीमा कार्ड
👨‍👩‍👧 Family & People,die Verwandtschaft,family/relatives,रिश्तेदारी
👤 Pronouns,die Verzögerung,delay,देरी
👤 Pronouns,die Veränderung,change,बदलाव
✨ Adjectives,die Vielfalt,diversity,विविधता
🚗 Transport & Travel,die Vignette,toll sticker,टोल स्टिकर
🍎 Food,die Vitamine,vitamins,विटामिन
📚 School & Learning,die Vokabel,vocabulary word,शब्द
🍎 Food,die Vollzeitstelle,full-time job,पूर्णकालिक नौकरी
🏃 Verbs,die Vorfahrt,right of way,प्राथमिकता
📚 School & Learning,die Vorlesung,lecture,व्याख्यान
👤 Pronouns,die Vorsicht,caution,सावधानी
🏃 Verbs,die Vorsätze,New Year's resolutions,नए साल के संकल्प
🏃 Verbs,die Vorwahl,area code,एरिया कोड
🏃 Verbs,die Waage,scales,तराज़ू
🏃 Verbs,die Wahl,election,चुनाव
🏃 Verbs,die Wahlurne,ballot box,मतपेटी
🌳 Nature & Weather,die Waldbrand,forest fire,जंगल की आग
🏠 House & Furniture,die Wartezimmer,waiting room,वेटिंग रूम
📱 Communication,die Website,website,वेबसाइट
🏥 Health & Feelings,die Wellness,wellness,वेलनेस
🏃 Verbs,die Welt,world,दुनिया
📱 Communication,die Werbung,advertisement,विज्ञापन
🌳 Nature & Weather,die Wettervorhersage,weather forecast,मौसम पूर्वानुमान
🐾 Animals,die Wildkatze,wildcat,जंगली बिल्ली
🌳 Nature & Weather,die Windenergie,wind energy,पवन ऊर्जा
👕 Clothing,die Wolle,wool,ऊन
🏥 Health & Feelings,die Wunde,wound,घाव
🏃 Verbs,die Wurzel,root,जड़
🏥 Health & Feelings,die Wut,anger,गुस्सा
🛒 Shopping & Money,die Währung,currency,मुद्रा
🏃 Verbs,die Wäsche,laundry,कपड़े धोना
🏃 Verbs,die Wüste,desert,रेगिस्तान
🏥 Health & Feelings,die Yoga,yoga,योग
🏃 Verbs,die Zahl,number,संख्या
🏃 Verbs,die Zahlung,payment,भुगतान
🧍 Body Parts,die Zahnbürste,toothbrush,टूथब्रश
🧍 Body Parts,die Zahnpasta,toothpaste,टूथपेस्ट
🍎 Food,die Zeichnung,drawing,ड्राइंग
🍎 Food,die Zeit,time,समय
🍎 Food,die Zeitspanne,time period,समय अवधि
🍎 Food,die Zeitung,newspaper,अखबार
🍎 Food,die Zeitung lesen,to read the newspaper,अखबार पढ़ना
🍎 Food,die Zeitzone,time zone,समय क्षेत्र
🚗 Transport & Travel,die Zollkontrolle,customs control,कस्टम कंट्रोल
🏃 Verbs,die Zone,zone,क्षेत्र
🍎 Food,die Zufriedenheit,satisfaction,संतुष्टि
🏃 Verbs,die Zukunft,future,भविष्य
👤 Pronouns,die Zuschauerin,spectator (female),दर्शक (स्त्री)
🍎 Food,die Zutaten,ingredients,सामग्री
🍎 Food,die Öffnungszeiten,opening hours,खुलने का समय
🏥 Health & Feelings,die Übelkeit,nausea,मतली
👤 Pronouns,die Über-,over (prefix),ऊपर
⏰ Time,die Übernachtung,overnight stay,रात रुकना
👤 Pronouns,die Überschrift,headline,शीर्षक
👤 Pronouns,die Überschwemmung,flood,बाढ़
⏰ Time,die Überstunde,overtime,ओवरटाइम
🍎 Food,die Überweisung,bank transfer,ट्रांसफर
🏃 Verbs,direkt,direct,सीधा
🌳 Nature & Weather,diskutieren,to discuss,चर्चा करना
🏃 Verbs,dium,(fragment),अंश
🏃 Verbs,dringend,urgent,जरूरी
🏃 Verbs,drüben,over there,वहाँ
🧍 Body Parts,drücken,to press,दबाना
👤 Pronouns,dumm,stupid,मूर्ख
👤 Pronouns,durchfallen,to fail (exam),फेल होना
👤 Pronouns,durfte,was allowed,इजाज़त थी
👤 Pronouns,duschen (sich),to shower,नहाना
👤 Pronouns,duscht,showers,नहाता है
🏃 Verbs,dünsten,to steam,स्टीम करना
🏃 Verbs,echt,real,असली
🏃 Verbs,egal,doesn't matter,कोई बात नहीं
🍎 Food,eigen-,own (prefix),अपना
🍎 Food,eilig,in a hurry,जल्दी में
🍎 Food,ein paar,a few,कुछ
🍎 Food,einchecken,to check in,चेक इन करना
🍎 Food,einfach,simple,सरल
🍎 Food,einig-,some (prefix),कुछ
🍎 Food,einkaufen,to shop,खरीदारी करना
🍎 Food,einkaufen gehen,to go shopping,खरीदारी करने जाना
🍎 Food,einmal,once,एक बार
🍎 Food,einpacken,to pack,पैक करना
🍎 Food,einschlafen,to fall asleep,सो जाना
🍎 Food,eintragen (sich),to register,दर्ज करना
🍎 Food,einzahlen,to deposit money,पैसे जमा करना
🍎 Food,einzel-,single (prefix),अकेला
🍎 Food,einziehen,to move in,रहने आना
🏃 Verbs,empfehlen,to recommend,सिफारिश करना
🏃 Verbs,enden,to end,खत्म करना
🍎 Food,entscheiden,to decide,निर्णय लेना
🛒 Shopping & Money,entschuldigen,to apologise,माफी माँगना
🚗 Transport & Travel,entspannen,to relax,आराम करना
👤 Pronouns,erinnern (sich),to remember,याद करना
👤 Pronouns,erinnert,reminded,याद दिलाया
🏥 Health & Feelings,erkältet sein,to have a cold,जुकाम होना
👤 Pronouns,erlauben,to allow,इजाज़त देना
🍎 Food,erlaubt sein,to be allowed,इजाज़त होना
🍎 Food,erleichtert,relieved,राहत महसूस
🍎 Food,erreichen,to reach,पहुँचना
🍎 Food,erreicht,reached,पहुँचा
👤 Pronouns,erst,only; first,केवल; पहले
👤 Pronouns,erziehen,to raise (children),पालन-पोषण
👤 Pronouns,fallen,to fall,गिरना
🏠 House & Furniture,fantastisch,fantastic,शानदार
🏃 Verbs,faul,lazy,आलसी
🏃 Verbs,fehlen,to be missing,कमी होना
🍎 Food,Feierabend machen,to finish work,काम खत्म करना
🍎 Food,feiern,to celebrate,मनाना
🍎 Food,fertig sein,to be ready,तैयार होना
🏃 Verbs,fett,fat,चर्बी
🏃 Verbs,feucht,humid,नम
🍎 Food,fit sein,to be fit,फिट होना
🍎 Food,fleißig,hard-working,मेहनती
🏃 Verbs,fliegt (ab),takes off,उड़ान भरता है
👤 Pronouns,fotografieren,to take a photo,फोटो खींचना
🍎 Food,freiwillig,voluntary,स्वैच्छिक
🏃 Verbs,fremd,strange,अजनबी
🏃 Verbs,freut,is pleased,खुश होता है
🏃 Verbs,frisch,fresh,ताज़ा
🏃 Verbs,furchtbar,terrible,भयानक
🏃 Verbs,fährt (ab),departs,रवाना होता है
🏃 Verbs,fängt an,begins,शुरू करता है
🏃 Verbs,fühlt,feels,महसूस करता है
🏃 Verbs,gang,walk; corridor,चलना; गलियारा
🏃 Verbs,geben/sagen),give/say,देना/कहना
🏃 Verbs,geboren,born,जन्म
🏃 Verbs,Geburts-,birth (prefix),जन्म
🏃 Verbs,geehrt-,honoured (prefix),सम्मानित
👤 Pronouns,gefallen,to please,पसंद आना
👤 Pronouns,gefährlich,dangerous,खतरनाक
👤 Pronouns,gegenüber,opposite,सामने
🏃 Verbs,geht aus,goes out,बाहर जाता है
🏃 Verbs,gehängt,hung,लटकाया
🏃 Verbs,gehören,to belong,संबंधित होना
🔗 Adverbs & Connectors,genug,enough,काफी
👤 Pronouns,gern,gladly,खुशी से
🏥 Health & Feelings,gesund essen,to eat healthy,स्वस्थ खाना
🏥 Health & Feelings,gesund leben,to live healthy,स्वस्थ जीवन जीना
👤 Pronouns,gewesen,been,था
🔗 Adverbs & Connectors,gewinnen,to win,जीतना
🏃 Verbs,gewinnt,wins,जीतता है
🏃 Verbs,gibt ab,hands in,जमा करता है
🏃 Verbs,gibt aus,spends,खर्च करता है
🍎 Food,gleich,same; soon,वही; जल्दी
🍎 Food,grillen,to grill,ग्रिल करना
🏥 Health & Feelings,gute Laune,good mood,अच्छा मूड
🍎 Food,gültig sein,to be valid,वैध होना
✨ Adjectives,halten,to hold,पकड़ना
🏃 Verbs,hart,hard,कठोर
🏃 Verbs,hat abgeholt,picked up,उठा लिया
👤 Pronouns,hat abgeschlossen,completed,पूरा किया
🛒 Shopping & Money,hat angeboten,offered,पेशकश की
🏃 Verbs,hat angefangen,began,शुरू किया
🏃 Verbs,hat angemeldet,registered,पंजीकरण किया
👤 Pronouns,hat angerufen,called,फोन किया
👤 Pronouns,hat angesehen,looked at,देखा
🏃 Verbs,hat aufgehört,stopped,रुका
🎒 Personal Items,hat aufgepasst,paid attention,ध्यान दिया
👤 Pronouns,hat ausgesehen,looked,देखा
🏙️ Places & City,hat beantwortet,answered,जवाब दिया
🏃 Verbs,hat bedeutet,meant,मतलब था
🏃 Verbs,hat begonnen,began,शुरू किया
👤 Pronouns,hat beraten,advised,सलाह दी
❓ Question Words,hat beschwert,complained,शिकायत की
👤 Pronouns,hat besichtigt,visited,देखा
👤 Pronouns,hat bestanden,passed,पास किया
👤 Pronouns,hat bestellt,ordered,ऑर्डर किया
🌳 Nature & Weather,hat diskutiert,discussed,चर्चा की
🍎 Food,hat eingetragen,registered,दर्ज किया
👤 Pronouns,hat erinnert,reminded,याद दिलाया
👤 Pronouns,hat erlaubt,allowed,इजाज़त दी
🍎 Food,hat erreicht,reached,पहुँचा
👤 Pronouns,hat erzählt,told,बताया
🍎 Food,hat gearbeitet,worked,काम किया
🏠 House & Furniture,hat gebadet,bathed,नहाया
🏃 Verbs,hat gebraten,fried,तला
🏃 Verbs,hat gebraucht,needed,जरूरत थी
🏠 House & Furniture,hat gedacht,thought,सोचा
🏃 Verbs,hat gedrückt,pressed,दबाया
👤 Pronouns,hat gedurft,was allowed,इजाज़त थी
👤 Pronouns,hat geduscht,showered,नहाया
🏃 Verbs,hat geendet,ended,खत्म हुआ
👤 Pronouns,hat gefallen,pleased,पसंद आया
🏃 Verbs,hat gefehlt,was missing,कम था
🍎 Food,hat gefeiert,celebrated,मनाया
🏃 Verbs,hat gefragt,asked,पूछा
🏃 Verbs,hat gefreut,was pleased,खुश हुआ
🏃 Verbs,hat gefunden,found,मिला
🏃 Verbs,hat gegeben,gave,दिया
🍎 Food,hat gegessen,ate,खाया
🏃 Verbs,hat geglaubt,believed,विश्वास किया
💼 Work & Job,hat gehalten,held,पकड़ा
🏃 Verbs,hat gehangen/,hung,लटका था
🍎 Food,hat geheiratet,married,शादी की
🍎 Food,hat geheißen,was called,कहलाता था
🏃 Verbs,hat geholfen,helped,मदद की
🏃 Verbs,hat geholt,fetched,लाया
🏃 Verbs,hat gehört,heard,सुना
🏃 Verbs,hat gekannt,knew,जानता था
🏃 Verbs,hat gekauft,bought,खरीदा
🏃 Verbs,hat geklappt,worked out,काम कर गया
🏃 Verbs,hat gekostet,cost,कीमत थी
🏃 Verbs,hat gekündigt,quit,छोड़ा
🏃 Verbs,hat gelassen,left,छोड़ा
🏃 Verbs,hat gelebt,lived,रहा
🏃 Verbs,hat gelegt,laid,रखा
🏃 Verbs,hat geliehen,lent,उधार दिया
🏃 Verbs,hat gelogen,lied,झूठ बोला
🏃 Verbs,hat gemacht,made,किया
🏃 Verbs,hat gemalt,painted,पेंट किया
🍎 Food,hat gemeint,meant,मतलब था
👤 Pronouns,hat gemerkt,noticed,ध्यान दिया
🏃 Verbs,hat gemocht,liked,पसंद किया
🏃 Verbs,hat genannt,named,नाम दिया
🏃 Verbs,hat genommen,took,लिया
🏙️ Places & City,hat geparkt,parked,पार्क किया
🎒 Personal Items,hat gepasst,fitted,फिट हुआ
🏃 Verbs,hat geplant,planned,योजना बनाई
👤 Pronouns,hat geraten,advised,सलाह दी
👤 Pronouns,hat geraucht,smoked,धूम्रपान किया
👤 Pronouns,hat gerechnet,calculated,गणना की
📱 Communication,hat geredet,talked,बात की
👤 Pronouns,hat gerochen,smelled,सूंघा
👤 Pronouns,hat gerufen,called,बुलाया
👤 Pronouns,hat gesagt,said,कहा
🐾 Animals,hat geschafft,managed,कर लिया
🎉 Celebrations,hat geschenkt,gave (gift),उपहार दिया
👤 Pronouns,hat geschickt,sent,भेजा
👤 Pronouns,hat geschienen,seemed,लगा
👤 Pronouns,hat geschimpft,scolded,डाँटा
👤 Pronouns,hat geschlafen,slept,सोया
👤 Pronouns,hat geschlossen,closed,बंद किया
👤 Pronouns,hat geschmeckt,tasted,स्वाद आया
👤 Pronouns,hat geschnitten,cut,काटा
👤 Pronouns,hat geschrieben,wrote,लिखा
👤 Pronouns,hat gesehen,saw,देखा
👤 Pronouns,hat gespart,saved,बचाया
🍎 Food,hat gespeichert,saved,सेव किया
👤 Pronouns,hat gespielt,played,खेला
👤 Pronouns,hat gestellt,placed,रखा
👤 Pronouns,hat gestritten,argued,झगड़ा किया
👤 Pronouns,hat gestört,disturbed,परेशान किया
👤 Pronouns,hat gesucht,searched,ढूंढा
👤 Pronouns,hat gesungen,sang,गाया
🏃 Verbs,hat getan,did,किया
🍎 Food,hat geteilt,shared,बाँटा
🏃 Verbs,hat getragen,wore,पहना
🏃 Verbs,hat getrunken,drank,पिया
🏃 Verbs,hat gewartet,waited,इंतज़ार किया
🏃 Verbs,hat geweckt,woke,जगाया
🍎 Food,hat geweint,cried,रोया
🏃 Verbs,hat gewusst,knew,जानता था
🏃 Verbs,hat gewählt,chose,चुना
🏃 Verbs,hat gezahlt,paid,भुगतान किया
🍎 Food,hat gezeichnet,drew,चित्र बनाया
🍎 Food,hat gezeigt,showed,दिखाया
👤 Pronouns,hat geändert,changed,बदला
🏃 Verbs,hat geöffnet,opened,खोला
🏃 Verbs,hat geübt,practised,अभ्यास किया
👤 Pronouns,hat hergestellt,produced,बनाया
👤 Pronouns,hat interessiert,interested,दिलचस्पी दिखाई
👤 Pronouns,hat kontrolliert,checked,जाँचा
🍎 Food,hat leidgetan,was sorry,अफ़सोस जताया
🥤 Drinks,hat probiert,tried,कोशिश की
🏃 Verbs,hat recht gehabt,was right,सही था
👤 Pronouns,hat renoviert,renovated,मरम्मत की
🏃 Verbs,hat stattgefunden,took place,हुआ
👤 Pronouns,hat unterhalten,entertained,बातचीत की
👤 Pronouns,hat untersucht,examined,जाँचा
👤 Pronouns,hat verdient,earned,कमाया
🍎 Food,hat vereinbart,agreed,सहमत हुआ
🍎 Food,hat vergessen,forgot,भूल गया
👤 Pronouns,hat verglichen,compared,तुलना की
👤 Pronouns,hat verkauft,sold,बेचा
👤 Pronouns,hat verletzt,injured,चोट पहुँचाई
👤 Pronouns,hat verliebt,fell in love,प्यार हो गया
👤 Pronouns,hat verloren,lost,खोया
🎒 Personal Items,hat verpasst,missed,चूक गया
👤 Pronouns,hat verschoben,postponed,टाला
👤 Pronouns,hat verstanden,understood,समझा
👤 Pronouns,hat versucht,tried,कोशिश की
🍎 Food,hat vorbereitet,prepared,तैयार किया
👤 Pronouns,hat vorgestellt,introduced,परिचय कराया
🚗 Transport & Travel,hat zugehört,listened,सुना
⏰ Time,hat übernachtet,stayed overnight,रात बिताई
🏃 Verbs,hat/ist,has/is,है
🏃 Verbs,hat/ist gelegen,lay,लेटा
🍎 Food,hat/ist gesessen,sat,बैठा
👤 Pronouns,hat/ist gestanden,stood,खड़ा था
👤 Pronouns,hat/ist gesurft,surfed,सर्फ किया
🏃 Verbs,hatte,had,था
🏠 House & Furniture,Hausmann,househusband,घरेलू पति
🍎 Food,heiraten,to marry,शादी करना
🍎 Food,heiß,hot,गर्म
🍎 Food,heißen,to be called,कहलाना
👤 Pronouns,her/her-/-her,here (prefix),यहाँ
👤 Pronouns,heraus/raus,out,बाहर
🌳 Nature & Weather,herberge,hostel,हॉस्टल
🍎 Food,herein/rein,in/inside,अंदर
💼 Work & Job,herstellen,to produce,बनाना
👤 Pronouns,herzlich,heartfelt,दिल से
⏰ Time,heute Abend,tonight,आज रात
⏰ Time,Heute ist der 20.2.2012,Today is 20 Feb 2012,आज 20 फरवरी 2012 है
🏃 Verbs,hin/hin-/-hin,there (prefix),वहाँ
👤 Pronouns,hoffentlich,hopefully,उम्मीद है
🏃 Verbs,hängen,to hang,लटकना
🏃 Verbs,hört auf,stops,रुकता है
👤 Pronouns,immer,always,हमेशा
👤 Pronouns,informieren,to inform,सूचित करना
👤 Pronouns,informiert,informed,सूचित
🏠 House & Furniture,ins Bett gehen,to go to bed,सोने जाना
🏃 Verbs,intelligent,intelligent,बुद्धिमान
👤 Pronouns,interessiert,interested,दिलचस्पी रखता
👤 Pronouns,international,international,अंतर्राष्ट्रीय
🏃 Verbs,ist (ab)gefahren,departed,रवाना हुआ
🏃 Verbs,ist (ab)geflogen,took off,उड़ान भरी
🍎 Food,ist dabei,is there,वहाँ है
🍎 Food,ist eingezogen,moved in,रहने आया
🍎 Food,ist einverstanden,agrees,सहमत है
🏥 Health & Feelings,ist erkältet,has a cold,जुकाम है
👤 Pronouns,ist fertig,is ready,तैयार है
👤 Pronouns,ist fit gewesen,was fit,फिट था
🏥 Health & Feelings,ist geblieben,stayed,रुका
🏃 Verbs,ist gegangen,went,गया
🏃 Verbs,ist gekommen,came,आया
🏃 Verbs,ist gelaufen,ran,दौड़ा
❓ Question Words,ist geschwommen,swam,तैरा
👤 Pronouns,ist gestorben,died,मर गया
👤 Pronouns,ist gewandert,hiked,पैदल चला
👤 Pronouns,ist gewesen,was,था
❓ Question Words,ist geworden,became,बना
👤 Pronouns,ist gültig gewesen,was valid,वैध था
🎒 Personal Items,ist passiert,happened,हुआ
👤 Pronouns,ist umgestiegen,changed (transport),बदला
🚗 Transport & Travel,ist unterwegs,is on the way,रास्ते में है
🍎 Food,ist verreist,is travelling,यात्रा पर है
🏃 Verbs,ist/hat gejoggt,jogged,जॉगिंग किया
🏃 Verbs,joggen,to jog,जॉगिंग करना
🍎 Food,keinen Fall,no way,बिल्कुल नहीं
📚 School & Learning,kennenlernen,to get to know,जानना
🏃 Verbs,klappen,to work out,काम करना
👤 Pronouns,klettern,to climb,चढ़ना
🏃 Verbs,klingeln,to ring,बजना
🏃 Verbs,Klub,club,क्लब
🏃 Verbs,kommt an,arrives,पहुँचता है
🏃 Verbs,kontaktlos bezahlen,contactless payment,कॉन्टैक्टलेस पेमेंट
👤 Pronouns,kontrollieren,to check,जाँचना
👤 Pronouns,kontrolliert,checked,जाँचा
🏃 Verbs,lange,long,लंबा
🏃 Verbs,lassen,to let,देना
🏃 Verbs,laufen),run,दौड़ना
🍎 Food,leicht,easy; light,आसान; हल्का
🍎 Food,leider,unfortunately,दुर्भाग्य से
🍎 Food,leidtun/leid tun,to be sorry,अफ़सोस होना
🍎 Food,leihen,to lend,उधार देना
🍎 Food,leise,quiet,शांत
👤 Pronouns,lernt kennen,gets to know,जानता है
🏃 Verbs,letzt-,last (prefix),आखिरी
🏃 Verbs,lieb-,dear (prefix),प्यारा
🏃 Verbs,Lieblings-,favourite (prefix),पसंदीदा
👤 Pronouns,liefern,to deliver,डिलीवर करना
🏃 Verbs,live,live,लाइव
👤 Pronouns,Länder und Nationalitäten,Countries and nationalities,देश और राष्ट्रीयता
🏃 Verbs,lügen,to lie,झूठ बोलना
🏃 Verbs,machen/-helfen),do/help,करना/मदद
🔗 Adverbs & Connectors,mal / das Mal,times; the time,बार; समय
🏃 Verbs,malen,to paint,पेंट करना
👤 Pronouns,manch-,some (prefix),कुछ
👤 Pronouns,manchmal,sometimes,कभी-कभी
🏃 Verbs,mehr,more,अधिक
🍎 Food,meinen,to mean,मतलब
🍎 Food,meiner Meinung nach,in my opinion,मेरी राय में
🍎 Food,meist-,most (prefix),सबसे
🏃 Verbs,meldet an,registers,पंजीकरण करता है
👤 Pronouns,merken,to notice,ध्यान देना
👤 Pronouns,mindestens,at least,कम से कम
🍎 Food,mit Frühstück,with breakfast,नाश्ते सहित
🏃 Verbs,mochte,liked,पसंद था
👕 Clothing,modern,modern,आधुनिक
⏰ Time,morgen früh,tomorrow morning,कल सुबह
👤 Pronouns,männlich,male,पुरुष
🏠 House & Furniture,nach Hause kommen,to come home,घर आना
🏃 Verbs,nebenan,next door,बगल में
🏃 Verbs,nennen,to name,नाम देना
👤 Pronouns,nicht zustimmen,to disagree,असहमत होना
👤 Pronouns,nichts,nothing,कुछ नहीं
🔗 Adverbs & Connectors,nie,never,कभी नहीं
🏃 Verbs,nirgends,nowhere,कहीं नहीं
✨ Adjectives,normal,normal,सामान्य
🌳 Nature & Weather,notieren,to note,नोट करना
🏃 Verbs,notwendig,necessary,जरूरी
✨ Adjectives,nächste,next,अगला
👕 Clothing,nähen,to sew,सिलाई
👤 Pronouns,nützlich,useful,उपयोगी
🔗 Adverbs & Connectors,oft,often,अक्सर
🏃 Verbs,online,online,ऑनलाइन
👤 Pronouns,organisieren,to organise,व्यवस्थित करना
👤 Pronouns,organisiert,organised,व्यवस्थित
🏃 Verbs,packen,to pack,पैक करना
🍎 Food,packt ein,packs,पैक करता है
🚗 Transport & Travel,parken,to park,पार्क करना
🎒 Personal Items,passieren,to happen,होना
🎒 Personal Items,passiert,happened,हुआ
🎒 Personal Items,passt auf,pays attention,ध्यान देता है
🍎 Food,peinlich,embarrassing,शर्मनाक
🏃 Verbs,planen,to plan,योजना बनाना
👤 Pronouns,plötzlich,suddenly,अचानक
🏠 House & Furniture,praktisch,practical,व्यावहारिक
🍎 Food,preiswert,good value,सस्ता
✨ Adjectives,privat,private,निजी
🏃 Verbs,pro,per,प्रति
🥤 Drinks,probieren,to try on,ट्राय करना
🥤 Drinks,probiert,tried,कोशिश किया
🎨 Colors,protestieren,to protest,विरोध करना
🏃 Verbs,prüfen,to check,जाँचना
🏃 Verbs,raten,to advise,सलाह देना
🔗 Adverbs & Connectors,rauchen,to smoke,धूम्रपान करना
🏃 Verbs,rechnen,to calculate,गणना करना
🏃 Verbs,recht haben,to be right,सही होना
🏃 Verbs,recyceln,to recycle,रीसाइकल करना
📱 Communication,reden,to talk,बात करना
🏃 Verbs,regelmäßig,regularly,नियमित
👤 Pronouns,regnerisch,rainy,बारिश वाला
🍎 Food,reich,rich,अमीर
🍎 Food,reisen,to travel,यात्रा करना
🍎 Food,reiten,to ride,घुड़सवारी करना
👤 Pronouns,renovieren,to renovate,मरम्मत करना
👤 Pronouns,reparieren,to repair,मरम्मत करना
👤 Pronouns,reservieren,to reserve,आरक्षित करना
👤 Pronouns,reserviert,reserved,आरक्षित
👤 Pronouns,reservierte,reserved,आरक्षित किया
🏠 House & Furniture,romantisch,romantic,रोमांटिक
🏃 Verbs,ruht aus,rests,आराम करता है
🔗 Adverbs & Connectors,rund,round,गोल
🏃 Verbs,sammeln,to collect,इकट्ठा करना
🏃 Verbs,sammelt,collects,इकट्ठा करता है
🏃 Verbs,satt,full (after eating),पेट भरा
🏃 Verbs,schade,pity,अफ़सोस
🐾 Animals,schaffen,to manage,कर लेना
🍎 Food,scheinen,to seem,लगना
🏃 Verbs,schimpfen,to scold,डाँटना
🏃 Verbs,schimpft,scolds,डाँटता है
🏃 Verbs,schlafen gehen,to go to sleep,सोने जाना
🏥 Health & Feelings,schlechte Laune,bad mood,खराब मूड
🏃 Verbs,schließt,closes,बंद करता है
🏃 Verbs,schließt ab,locks,ताला लगाता है
🏃 Verbs,schlimm,bad,बुरा
🏃 Verbs,schmeckt,tastes,स्वाद आता है
🍎 Food,schneiden (sich),to cut,काटना
🍎 Food,schneidet,cuts,काटता है
👤 Pronouns,schrecklich,terrible,भयानक
🍎 Food,schreiben,to write,लिखना
👤 Pronouns,schriftlich,in writing,लिखित
✨ Adjectives,schwach,weak,कमज़ोर
🐾 Animals,schwanger,pregnant,गर्भवती
🏃 Verbs,schwimmen gehen,to go swimming,तैराकी करने जाना
👤 Pronouns,schädlich,harmful,नुकसानदेह
🏃 Verbs,schützen,to protect,संरक्षण करना
🍎 Food,sein,to be,होना
👤 Pronouns,setzen (sich),to sit down,बैठना
🏃 Verbs,setzt,sets,रखता है
🏃 Verbs,setzung,translation,अनुवाद
👤 Pronouns,sich anziehen,to get dressed,कपड़े पहनना
👤 Pronouns,sich ausruhen,to rest,आराम करना
👤 Pronouns,sich ausziehen,to undress,कपड़े उतारना
🍎 Food,sich beeilen,to hurry,जल्दी करना
👤 Pronouns,sich rasieren,to shave,शेव करना
👤 Pronouns,sich schminken,to put on makeup,मेकअप करना
🍎 Food,sich streiten,to argue,झगड़ा करना
👤 Pronouns,sich versöhnen,to make up,सुलह करना
👤 Pronouns,sicher,safe,सुरक्षित
👤 Pronouns,sieht aus,looks,दिखता है
🏃 Verbs,so,so,इतना
🏙️ Places & City,sofort,immediately,तुरंत
🔗 Adverbs & Connectors,sogar,even,भी
🏃 Verbs,sollte,should,चाहिए था
🏃 Verbs,sonst,otherwise,वरना
🚗 Transport & Travel,spannend,exciting,रोमांचक
👤 Pronouns,spazieren gehen,to go for a walk,सैर करना
🏃 Verbs,spielen (Instrument),to play (instrument),बजाना
🏃 Verbs,spielt,plays,खेलता है
🏙️ Places & City,sportlich,sporty,खेल प्रेमी
✨ Adjectives,stark,strong,मज़बूत
🏃 Verbs,stattfinden,to take place,होना
🍎 Food,steigt aus,gets off,उतरता है
🍎 Food,steigt ein,gets in,चढ़ता है
🏃 Verbs,stellt vor,introduces,परिचय कराता है
👤 Pronouns,sterben,to die,मरना
🏃 Verbs,streamen,to stream,स्ट्रीम करना
🍎 Food,streiten (sich),to argue,झगड़ना
🏃 Verbs,streng,strict,सख्त
🏥 Health & Feelings,stressig,stressful,तनावपूर्ण
👕 Clothing,stricken,to knit,बुनाई
🏃 Verbs,stören,to disturb,परेशान करना
🏠 House & Furniture,stürmisch,stormy,तूफानी
🏃 Verbs,surfen,to surf,सर्फ करना
📱 Communication,surfen im Internet,to surf the internet,इंटरनेट सर्फ करना
🏃 Verbs,sympathisch,likeable,सहानुभूतिपूर्ण
🏃 Verbs,tauscht (aus),exchanges,अदला-बदली करता है
🍎 Food,teilen,to share,बाँटना
🍎 Food,teilnehmen,to participate,भाग लेना
🛒 Shopping & Money,teuer,expensive,महंगा
🏃 Verbs,tief,deep,गहरा
🏃 Verbs,tot,dead,मृत
🏃 Verbs,total,total,कुल
👤 Pronouns,trainieren,to train,प्रशिक्षण लेना
👤 Pronouns,treffen (sich),to meet,मिलना
🏃 Verbs,trifft,meets,मिलता है
🍎 Food,trägt ein,enters,दर्ज करता है
🏃 Verbs,träumen,to dream,सपना देखना
🏃 Verbs,träumt,dreams,सपना देखता है
🏃 Verbs,tschüs,bye,बाय
🏃 Verbs,tun,to do,करना
🏃 Verbs,tung,(suffix),ता/ती
⏰ Time,um ... Uhr,at ... o'clock,... बजे
🏃 Verbs,unbedingt,absolutely,अवश्य
🏥 Health & Feelings,ungesund,unhealthy,अस्वस्थ
👤 Pronouns,unterhalten (sich),to converse,बातचीत करना
👤 Pronouns,unterhält,entertains,बातचीत करता है
👤 Pronouns,unternehmen,to do (activity),करना
🍎 Food,unterschreiben,to sign,हस्ताक्षर करना
👤 Pronouns,untersuchen,to examine,जाँचना
👤 Pronouns,untersucht,examines,जाँचता है
🍎 Food,unterwegs sein,to be on the way,रास्ते में होना
