German,English,Hindi
die Kreditkarte,credit card,क्रेडिट कार्ड
die Kreide,chalk,चॉक
die Kreuzung,intersection / crossing,चौराहा
die Krähe,crow,कौआ
die Kuh,cow 🐄,गाय
die Kultur,culture,संस्कृति
die Kundenzufriedenheit,customer satisfaction,ग्राहक संतुष्टि
die Kundin,customer (f),ग्राहक (महिला)
die Kunst,art,कला
die Kälte,cold,सर्दी
die Köchin,chef (female),महिला शेफ
die Küche,kitchen 🍳,रसोई
die Kündigung,termination,नौकरी छोड़ना
die Künstlerin,artist (female),कलाकार (महिला)
die Küste,coast,तट
die Lampe,lamp 💡,लैंप
die Landschaft,landscape,प्राकृतिक दृश्य
die Landung,landing,लैंडिंग
die Langeweile,boredom,बोरियत
die Laune,mood,मूड
die Lebens-,To be translated,अनुवाद किया जाना है
die Leder,leather,चमड़ा
die Lehrerin,teacher (female),शिक्षिका
die Leute,people,लोग
die Leute (Pl.),To be translated,अनुवाद किया जाना है
die Liebe,love ❤️,प्यार
die Limonade,lemonade / soda 🍋,नींबू पानी / सोडा
die Lippe,lip,होंठ
die Luft,air,हवा
die Luftballons,balloons,गुब्बारे
die Luftfeuchtigkeit,humidity,आर्द्रता
die Luftverschmutzung,air pollution,वायु प्रदूषण
die Lust (Sg.),To be translated,अनुवाद किया जाना है
die Lösung,solution,समाधान
die Lösung finden,to find a solution,समाधान ढूंढना
die Lüge,To be translated,अनुवाद किया जाना है
die Magenprobleme,stomach problems,पेट की समस्या
die Mahlzeit,meal,भोजन
die Mailbox,voicemail,वॉइसमेल
die Mama,mom (informal),मम्मी
die Maniküre,manicure,मैनिक्योर
die Mannschaft,team,टीम
die Mappe,folder,फोल्डर
die Marke,brand,ब्रांड
die Maschine,To be translated,अनुवाद किया जाना है
die Maske,mask,मुखौटा
die Massage,massage,मालिश
die Mathematik,mathematics,गणित
die Maus,mouse 🖱️,माउस
die Maut,toll,टोल
die Medaille,medal,मेडल
die Medikamente,medication,दवाइयाँ
die Meditation,meditation,ध्यान
die Medizin,medicine 💊,दवा
die Medizin nehmen,to take medicine,दवा लेना
die Meinung,opinion,राय
die Meisterschaft,championship,चैंपियनशिप
die Melodie,melody,धुन
die Melone,melon,खरबूजा
die Menge,To be translated,अनुवाद किया जाना है
die Mensa,canteen / cafeteria,कैंटीन
die Messe,To be translated,अनुवाद किया जाना है
die Metzgerei,butcher shop 🥩,कसाई की दुकान
die Miete,rent 💰,किराया
die Migration,migration,प्रवासन
die Mikrowelle,microwave,माइक्रोवेव
die Milch,milk 🥛,दूध
die Milch (Sg.),To be translated,अनुवाद किया जाना है
die Minute,minute,मिनट
die Mittagspause,lunch break,लंच ब्रेक
die Mitte,To be translated,अनुवाद किया जाना है
die Mitternacht,midnight,आधी रात
die Mode,fashion,फैशन
die Moschee,mosque 🕌,मस्जिद
die Musik,music 🎵,संगीत
die Musik (Sg.),To be translated,अनुवाद किया जाना है
die Musik hören,to listen to music,संगीत सुनना
die Musikerin,musician (female),संगीतकार (महिला)
die Mutter,mother 👩,माँ
die Möbel,furniture,फर्नीचर
die Möbel (Pl.),To be translated,अनुवाद किया जाना है
die Mücke,mosquito,मच्छर
die Müdigkeit,tiredness,थकान
die Mülltonne,trash bin,कचरा डिब्बा
die Mülltrennung,waste separation,कचरा अलग करना
die Münze,coin 🪙,सिक्का
die Mütze,cap / beanie 🧢,टोपी
die Nachbarin,neighbor (f),पड़ोसन
die Nachbarschaft,neighborhood,पड़ोस
die Nachhaltigkeit,sustainability,स्थिरता
die Nachnahme,cash on delivery,कैश ऑन डिलीवरी
die Nachricht,message 💬,संदेश
die Nachrichten,news,खबरें
die Nachspeise,dessert,मिठाई
die Nacht,night 🌙,रात
die Nase,nose 👃,नाक
die Nationalität,nationality,राष्ट्रीयता
die Natur,nature 🌿,प्रकृति
die Natur (Sg.),To be translated,अनुवाद किया जाना है
die Navigation,navigation,नेविगेशन
die Nebenkosten,utilities,अतिरिक्त खर्च
die Nervosität,nervousness,घबराहट
die Neugier,curiosity,जिज्ञासा
die Nichte,niece,भतीजी / भांजी
die Niederlage,defeat,हार
die Notaufnahme,emergency room,आपातकालीन विभाग
die Note,grade / mark,नंबर / ग्रेड
die Notiz,To be translated,अनुवाद किया जाना है
die Nudel,To be translated,अनुवाद किया जाना है
die Nudeln,noodles / pasta,नूडल्स
die Nummer,To be translated,अनुवाद किया जाना है
die Nummer wählen,to dial the number,नंबर डायल करना
die Nuss,nut,मेवा
die Nähe (Sg.),To be translated,अनुवाद किया जाना है
die Ohren,ears,कान (दोनों)
die Ohrringe,earrings,झुमके
die Oma,grandma 👵,दादी / नानी
die Oper,opera,ओपेरा
die Operation,operation,ऑपरेशन
die Orange,orange 🟠,नारंगी
die Ordnung,To be translated,अनुवाद किया जाना है
die Organisation,organization,संगठन
die Orientierung,orientation,दिशा ज्ञान
die Packung,pack / package 📦,पैकेट
die Panne,breakdown,खराबी
die Papiere (Pl.),To be translated,अनुवाद किया जाना है
die Papierkorb,waste paper basket,कागज़ की टोकरी
die Paprika,bell pepper,शिमला मिर्च
die Parade,parade,परेड
die Parkuhr,parking meter,पार्किंग मीटर
die Partei,party (political),पार्टी
die Partnerin,partner (f),साथी (महिला)
die Partnerschaft,partnership,साझेदारी
die Party,party 🥳,पार्टी
die Passform,fit,फिटिंग
die Patientin,patient (female),मरीज (महिला)
die Pause,break ☕,ब्रेक
die Pause machen,to take a break,ब्रेक लेना
die Pediküre,pedicure,पेडीक्योर
die Person,person,व्यक्ति
die Petition,petition,याचिका
die Pfanne,pan / frying pan 🍳,कड़ाही / तवा
die Pflanze,plant 🌱,पौधा
die Pflicht,duty,कर्तव्य
die Pfote,paw 🐾,पंजा
die Physik,physics,भौतिकी
die PIN,PIN,पिन
die PIN-Nummer,PIN number,पिन नंबर
die Pizza,To be translated,अनुवाद किया जाना है
die Plastiktüte,plastic bag,प्लास्टिक बैग
die Plastiktüte verbieten,to ban plastic bags,प्लास्टिक बैग पर प्रतिबंध
die Politik,politics,राजनीति
die Polizei (Sg.),To be translated,अनुवाद किया जाना है
die Polizeiwache,police station,पुलिस थाना
die Portion,portion,पोर्शन
die Post,post office 📮,डाकघर
die Post (Sg.),To be translated,अनुवाद किया जाना है
die Postfiliale,post office branch,डाकघर शाखा
die Postkarte,postcard 📮,पोस्टकार्ड
die Postkarte schicken,to send a postcard,पोस्टकार्ड भेजना
die Postleit-,To be translated,अनुवाद किया जाना है
die Postleitzahl,postal code,पिन कोड
die Praxis,doctor's office,क्लिनिक
die Präsentation,presentation,प्रेजेंटेशन
die Prüfung,exam 📋,परीक्षा
die Prüfungsvorbereitung,exam preparation,परीक्षा तैयारी
die Qualifikation,qualification,योग्यता
die Qualität,quality,गुणवत्ता
die Quittung,receipt 🧾,रसीद
die Raststätte,rest stop,रेस्ट स्टॉप
die Ratte,rat,चूहा
die Raupe,caterpillar,इल्ली
die Rechnung,bill / invoice,बिल
die Rechnung bezahlen,to pay the bill,बिल चुकाना
die Rechnung bitte,the bill please,बिल प्लीज़
die Recyclingtonne,recycling bin,रीसाइक्लिंग डिब्बा
die Regierung,government,सरकार
die Reihe,To be translated,अनुवाद किया जाना है
die Reinigung,dry cleaner,ड्राई क्लीनर
die Reise,journey/trip,यात्रा
die Reiseplanung,trip planning,यात्रा योजना
die Reisetasche,travel bag,यात्रा बैग
die Reklamation,complaint,शिकायत
die Reklame,advertisement,विज्ञापन
die Religion,religion,धर्म
die Rente,pension/retirement,पेंशन
die Rentnerin,retiree (female),पेंशनभोगी (महिला)
die Reparatur,repair,मरम्मत
die Reservierung,reservation,आरक्षण
die Retoure,return,वापसी
die Rezeption,reception,रिसेप्शन
die Richtung,direction,दिशा
die Rose,rose,गुलाब
die Routine,routine,रूटीन
die Ruhe,peace / rest,आराम / शांति
die Ruhe (Sg.),To be translated,अनुवाद किया जाना है
die Rutsche,slide,स्लाइड
die Rückgabe,return,वापसी
die S-Bahn,suburban train,लोकल ट्रेन
die Sache,thing,चीज़
die Sahne,cream,क्रीम
die Saison,season,सीज़न
die Salbe,ointment,मलहम
die Sandale,sandal 👡,सैंडल
die Sandalen,sandals,सैंडल
die Sandkasten,sandbox,रेत का डिब्बा
die Sauna,sauna,सौना
die Schaukel,swing,झूला
die Schauspielerin,actress,अभिनेत्री
die Scheidung,divorce,तलाक
die Schere,scissors ✂️,कैंची
die Schildkröte,turtle 🐢,कछुआ
die Schlange,queue / line,कतार
die Schmerzen,pains,दर्द (बहुवचन)
die Schnecke,snail,घोंघा
die Schokolade,chocolate,चॉकलेट
die Schuhe,shoes 👟,जूते
die Schulbildung,education,शिक्षा
die Schuld,debt,कर्ज
die Schulden,debts,कर्ज
die Schule,school 🏫,स्कूल
die Schule beginnen,school starts,स्कूल शुरू होना
die Schulter,shoulder,कंधा
die Schwester,sister 👧,बहन
die Schwiegermutter,mother-in-law,सास
die Schwiegertochter,daughter-in-law,बहू
die Schwägerin,sister-in-law,ननद/भाभी
die Schülerin,pupil (female),छात्रा
die Schüssel,bowl 🥣,कटोरा
die Sechs,grade 6 (worst),फेल
die See (Sg),To be translated,अनुवाद किया जाना है
die Sehens-,To be translated,अनुवाद किया जाना है
die Sehenswürdigkeit,tourist attraction / sight,दर्शनीय स्थल
die Sehnsucht,longing,तड़प
die Seide,silk,रेशम
die Seife,To be translated,अनुवाद किया जाना है
die Seite,To be translated,अनुवाद किया जाना है
die Sekunde,second,सेकंड
die Sendung,shipment/broadcast,शिपमेंट/प्रसारण
die Serie,series,सीरीज़
die Serviette,napkin,नैपकिन
die Sicherheitskontrolle,security check,सिक्योरिटी चेक
die Situation,To be translated,अनुवाद किया जाना है
die Skulptur,sculpture,मूर्ति
die SMS,text message,एसएमएस
die Social Media,social media,सोशल मीडिया
die Socke,sock 🧦,मोज़ा
die Socken,socks,मोज़े
die Solaranlage,solar system,सौर प्रणाली
die Solidarität,solidarity,एकजुटता
die Sonne,sun ☀️,सूरज
die Sonne scheinen,the sun is shining,धूप निकलना
Die Sonne scheint,The sun is shining,धूप निकली है
die Sonnenbrille,sunglasses 🕶️,धूप का चश्मा
die Sorge,worry,चिंता
die Speisekarte,menu,मेनू
die Spende,donation,दान
die Spinne,spider 🕷️,मकड़ी
die Sportart,type of sport,खेल का प्रकार
die Sporthalle,sports hall,खेल हॉल
die Sprache,language 🗣️,भाषा
die Sprech-,To be translated,अनुवाद किया जाना है
die Sprite,Sprite (lemon soda),स्प्राइट
die Spritze,injection,इंजेक्शन
die Spülmaschine,dishwasher,डिशवॉशर
die Stadt,city / town 🏙️,शहर
die Stadtbesichtigung,city tour,शहर का दौरा
die Stadtmitte,city center,शहर का केंद्र
die Statue,statue,मूर्ति
die Steckdose,socket,सॉकेट
die Stehlampe,floor lamp,फ्लोर लैंप
die Stelle,position / job,पद
die Steuer,tax,टैक्स
die Stiefmutter,stepmother,सौतेली माँ
die Stieftochter,stepdaughter,सौतेली बेटी
die Stille,silence,खामोशी
die Stimme,voice,आवाज़
die Stimmung,mood/atmosphere,माहौल
die Stirn,forehead,माथा
die Strafe,fine,जुर्माना
die Straße,street / road,सड़क
die Straßen-,To be translated,अनुवाद किया जाना है
die Straßenbahn,tram 🚃,ट्राम
die Studentin,student (female),छात्रा (विश्वविद्यालय)
die Stunde,hour,घंटा
die Stunde fahren,to drive for hours,घंटों ड्राइव करना
die Suppe,soup,सूप
die Symptome,symptoms,लक्षण
die Sängerin,singer (female),गायिका
die Süßigkeiten,To be translated,अनुवाद किया जाना है
die Tablette,tablet / pill,गोली
die Tafel,blackboard,ब्लैकबोर्ड
die Tankstelle,gas station ⛽,पेट्रोल पंप
die Tante,aunt,चाची / मामी / बुआ
die Tanzfläche,dance floor,डांस फ्लोर
die Tanzmusik,dance music,नाच की संगीत
die Tasche,bag / purse 👜,बैग / थैला
die Tasse,cup ☕,प्याला / कप
die Tastatur,keyboard ⌨️,कीबोर्ड
die Taube,pigeon,कबूतर
die Taufe,baptism,बपतिस्मा
die Teilzeitstelle,part-time job,पार्ट टाइम नौकरी
die Telefonnummer,phone number,फोन नंबर
die Temperatur,temperature 🌡️,तापमान
die Temperatur messen,to measure temperature,तापमान नापना
die Terrasse,terrace / patio,छत / आंगन
die Therapie,therapy,चिकित्सा
die Tierwelt,animal world,जानवरों की दुनिया
die Tischdecke,tablecloth,मेज़पोश
die Tischlampe,table lamp,टेबल लैंप
die Tochter,daughter 👧,बेटी
die Toilette,toilet,शौचालय
die Toleranz,tolerance,सहिष्णुता
die Tomate,tomato,टमाटर
die Torte,layer cake / gateau,टोर्ट केक
die Tour,tour,टूर
die Touristeninformation,tourist information,पर्यटक सूचना केंद्र
die Tradition,tradition,परंपरा
die Traube,grape,अंगूर
die Traurigkeit,sadness,उदासी
die Trauung,wedding ceremony,विवाह समारोह
die Trennung,separation,अलग होना
die Treppe,stairs 🪜,सीढ़ी
die Trommel,drum,ड्रम
die Tulpe,tulip,ट्यूलिप
die Turnhalle,gymnasium,जिम्नेजियम
die Turnschuhe,sneakers,स्नीकर्स
die Tür,door 🚪,दरवाज़ा
die Tüte,bag (paper/plastic),थैला
die U-Bahn,metro / subway 🚇,मेट्रो
die Uhr,clock ⏰,घड़ी
die Uhrzeit,time (clock),समय (घड़ी)
die Umfrage,survey/poll,सर्वे
die Umkleidekabine,changing room,चेंजिंग रूम
die Umleitung,diversion,डायवर्शन
die Umtausch,exchange,एक्सचेंज
die Umwelt,environment,पर्यावरण
die Umweltverschmutzung,environmental pollution,पर्यावरण प्रदूषण
die Universität,university,विश्वविद्यालय
die Unsicherheit,uncertainty,अनिश्चितता
die Unterkunft,To be translated,अनुवाद किया जाना है
die Unterschrift,signature ✍️,हस्ताक्षर
die Unterschrift sammeln,to collect signatures,हस्ताक्षर इकट्ठा करना
die Untersuchung,examination,जाँच
die Untertitel,subtitles,उपशीर्षक
die Unterwäsche,underwear,अंडरवियर
die Verabredung,appointment,अपॉइंटमेंट
die Veranstal-,To be translated,अनुवाद किया जाना है
die Veranstaltung,event,कार्यक्रम
die Verbindung,connection,कनेक्शन
die Vergangenheit,past,अतीत
die Verkäuferin,saleswoman,विक्रेता (महिला)
die Verletzung,injury,चोट
die Verlobung,engagement,सगाई
die Verschmutzung,pollution,प्रदूषण
die Versicherung,insurance,बीमा
die Versicherungskarte,insurance card,बीमा कार्ड
die Verspätung,delay,देरी
die Verwandtschaft,family/relatives,रिश्तेदारी
die Verzögerung,delay,देरी
die Veränderung,change,बदलाव
die Vielfalt,diversity,विविधता
die Vignette,toll sticker,टोल स्टिकर
die Vitamine,vitamins,विटामिन
die Vokabel,vocabulary word,शब्द
die Vollzeitstelle,full-time job,पूर्णकालिक नौकरी
die Vorfahrt,right of way,प्राथमिकता
die Vorlesung,lecture,व्याख्यान
die Vorsicht,caution,सावधानी
die Vorspeise,starter / appetizer,स्टार्टर
die Vorsätze,New Year's resolutions,नए साल के संकल्प
die Vorwahl,area code,एरिया कोड
die Waage,scales,तराज़ू
die Wahl,election,चुनाव
die Wahlurne,ballot box,मतपेटी
die Waldbrand,forest fire,जंगल की आग
die Wand,wall,दीवार
die Wange,cheek,गाल
die Ware,goods,माल
die Wartezimmer,waiting room,वेटिंग रूम
die Waschmaschine,washing machine 🧺,वाशिंग मशीन
die Webseite,website,वेबसाइट
die Website,website,वेबसाइट
die Wellness,wellness,वेलनेस
die Welt,To be translated,अनुवाद किया जाना है
die Werbung,advertisement,विज्ञापन
die Werkstatt,workshop / garage,वर्कशॉप / गैरेज
die Wettervorhersage,weather forecast,मौसम पूर्वानुमान
die Wiese,meadow,घास का मैदान
die Wildkatze,wildcat,जंगली बिल्ली
die Windenergie,wind energy,पवन ऊर्जा
die Woche,week,सप्ताह
die Wohnung,apartment / flat 🏢,फ्लैट
die Wolke,cloud ☁️,बादल
die Wolle,wool,ऊन
die Wunde,wound,घाव
die Wurst,sausage,सॉसेज
die Wurzel,root,जड़
die Wut,anger,गुस्सा
die Währung,currency,मुद्रा
die Wäsche,To be translated,अनुवाद किया जाना है
die Wüste,desert,रेगिस्तान
die Yoga,yoga,योग
die Zahl,To be translated,अनुवाद किया जाना है
die Zahl,To be translated,अनुवाद किया जाना है
die Zahlung,payment,भुगतान
die Zahnbürste,toothbrush,टूथब्रश
die Zahnpasta,toothpaste,टूथपेस्ट
die Zeichnung,drawing,ड्राइंग
die Zeit,To be translated,अनुवाद किया जाना है
die Zeitschrift,magazine 📖,पत्रिका
die Zeitspanne,time period,समय अवधि
die Zeitung,newspaper,अखबार
die Zeitung lesen,to read the newspaper,अखबार पढ़ना
die Zeitzone,time zone,समय क्षेत्र
die Ziege,goat 🐐,बकरी
die Zigarette,cigarette 🚬,सिगरेट
die Zitrone,lemon,नींबू
die Zollkontrolle,customs control,कस्टम कंट्रोल
die Zone,zone,क्षेत्र
die Zufriedenheit,satisfaction,संतुष्टि
die Zukunft,future,भविष्य
die Zunge,tongue 👅,जीभ
die Zuschauerin,spectator (female),दर्शक (स्त्री)
die Zutaten,ingredients,सामग्री
die Zwiebel,onion,प्याज
die Zähne,teeth,दाँत (सब)
die Ärztin,doctor (f) 👩‍⚕️,डॉक्टर (महिला)
die Öffnungszeiten,opening hours,खुलने का समय
die Übelkeit,nausea,मतली
die Über-,To be translated,अनुवाद किया जाना है
die Übernachtung,overnight stay,रात रुकना
die Überraschung,surprise,आश्चर्य / सरप्राइज
die Überschrift,headline,शीर्षक
die Überschwemmung,flood,बाढ़
die Überstunde,overtime,ओवरटाइम
die Überstunden,overtime,ओवरटाइम
die Überweisung,bank transfer,ट्रांसफर
die Übung,exercise,अभ्यास
Dienstag,Tuesday,मंगलवार
diese,this (f),यह
dieser,this (m),यह
dieses,this (n),यह
dir,to you (dative),तुझे
direkt,To be translated,अनुवाद किया जाना है
diskutieren,To be translated,अनुवाद किया जाना है
dium,To be translated,अनुवाद किया जाना है
doch,yes (contradicting) / but,हाँ (विरोध में)
Donnerstag,Thursday,गुरुवार
dort,there,वहाँ
draußen,outside,बाहर
dringend,To be translated,अनुवाद किया जाना है
drinnen,inside,अंदर
drucken,to print,प्रिंट करना
drüben,To be translated,अनुवाद किया जाना है
drücken,To be translated,अनुवाद किया जाना है
du,you (informal),तुम
dumm,To be translated,अनुवाद किया जाना है
dunkel,dark,गहरा
dunkelblau,dark blue,गहरा नीला
dunkelbraun,dark brown,गहरा भूरा
dunkelgrau,dark gray,गहरा धूसर
dunkelgrün,dark green,गहरा हरा
dunkelrot,dark red,गहरा लाल
durch,through,से होकर
durchfallen,to fail (exam),फेल होना
durfte,To be translated,अनुवाद किया जाना है
durstig,thirsty 🥤,प्यासा
duschen,to shower 🚿,नहाना
duschen (sich),To be translated,अनुवाद किया जाना है
duscht,To be translated,अनुवाद किया जाना है
dünn,thin,पतला
dünsten,to steam,स्टीम करना
dürfen,may / to be allowed,... की अनुमति होना
echt,To be translated,अनुवाद किया जाना है
egal,To be translated,अनुवाद किया जाना है
eigen-,To be translated,अनुवाद किया जाना है
eigentlich,actually,वास्तव में
eilig,To be translated,अनुवाद किया जाना है
ein paar,To be translated,अनुवाद किया जाना है
einchecken,to check in,चेक इन करना
einen Termin machen,to make an appointment,अपॉइंटमेंट लेना
einfach,To be translated,अनुवाद किया जाना है
einfache Fahrt,one-way trip,एक तरफ़ का टिकट
einig-,To be translated,अनुवाद किया जाना है
einkaufen,To be translated,अनुवाद किया जाना है
einkaufen gehen,to go shopping,खरीदारी करने जाना
einladen,to invite,आमंत्रित करना
einmal,To be translated,अनुवाद किया जाना है
einpacken,To be translated,अनुवाद किया जाना है
einsam,lonely,अकेला
einschlafen,to fall asleep,सो जाना
einsteigen,to get on / board,चढ़ना
eintragen (sich),To be translated,अनुवाद किया जाना है
Einverstanden,Agreed,मंज़ूर
einzahlen,to deposit money,पैसे जमा करना
einzel-,To be translated,अनुवाद किया जाना है
einziehen,To be translated,अनुवाद किया जाना है
elfenbein,ivory,हाथी दांत रंग
empfehlen,To be translated,अनुवाद किया जाना है
enden,To be translated,अनुवाद किया जाना है
endlich,finally,आखिरकार
eng,tight,तंग
Englisch,English 🇬🇧,अंग्रेज़ी
entscheiden,to decide,निर्णय लेना
entschuldigen,To be translated,अनुवाद किया जाना है
Entschuldigung,Sorry / Excuse me,माफ़ कीजिए
entspannen,to relax,आराम करना
entspannt,relaxed 😌,तनावमुक्त
er,he 👨,वह (पुरुष)
erinnern (sich),to remember,याद करना
erinnert,To be translated,अनुवाद किया जाना है
erklären,to explain,समझाना
erkältet sein,To be translated,अनुवाद किया जाना है
erlauben,To be translated,अनुवाद किया जाना है
erlaubt sein,To be translated,अनुवाद किया जाना है
erleichtert,relieved,राहत महसूस
erreichen,To be translated,अनुवाद किया जाना है
erreicht,To be translated,अनुवाद किया जाना है
erst,To be translated,अनुवाद किया जाना है
erziehen,to raise (children),पालन-पोषण
erzählen,to tell / narrate,बताना
es,it,यह
Es geht,So-so,ठीक-ठाक
Es ist heiß/kalt,It's hot/cold,गर्मी/ठंड है
Es ist lecker!,It's delicious!,यह मज़ेदार है!
Es regnet,It's raining,बारिश हो रही है
Es schneit,It's snowing,बर्फ गिर रही है
Es sind 20 Grad,It's 20 degrees,20 डिग्री है
Es tut mir leid,I'm sorry,मुझे खेद है
etwas,something,कुछ
euch,you all (accusative),तुम लोगों को
euer,your (plural),तुम लोगों का
fahren,to drive / go (vehicle),चलाना / जाना
fallen,To be translated,अनुवाद किया जाना है
falsch,wrong / false ✗,गलत
fantastisch,To be translated,अनुवाद किया जाना है
fast,almost,लगभग
faul,To be translated,अनुवाद किया जाना है
Februar,February,फरवरी
fehlen,To be translated,अनुवाद किया जाना है
Feierabend machen,to finish work,काम खत्म करना
feiern,To be translated,अनुवाद किया जाना है
fertig,ready / finished ✅,तैयार / समाप्त
fertig sein,To be translated,अनुवाद किया जाना है
fett,To be translated,अनुवाद किया जाना है
feucht,humid,नम
finden,to find,पाना
fit sein,To be translated,अनुवाद किया जाना है
fleißig,To be translated,अनुवाद किया जाना है
flieder,lilac,हल्का बैंगनी
fliegen,to fly,उड़ना
fliegt (ab),To be translated,अनुवाद किया जाना है
fotografieren,to take a photo,फोटो खींचना
fragen,to ask,पूछना
frei,free,फ्री / खाली
freiwillig,To be translated,अनुवाद किया जाना है
fremd,To be translated,अनुवाद किया जाना है
freuen (sich),to be happy / pleased,खुश होना
freundlich,friendly,मिलनसार
freut,To be translated,अनुवाद किया जाना है
Freut mich,Nice to meet you,आपसे मिलकर खुशी हुई
frisch,fresh,ताज़ा
froh,glad / pleased,प्रसन्न
früh,early,जल्दी
früher,earlier / formerly,पहले
frühstücken,to have breakfast,नाश्ता करना
furchtbar,To be translated,अनुवाद किया जाना है
fährt (ab),To be translated,अनुवाद किया जाना है
fängt an,To be translated,अनुवाद किया जाना है
fühlen,to feel ✋,महसूस करना
fühlen (sich),to feel,महसूस करना
fühlt,To be translated,अनुवाद किया जाना है
für,for,के लिए
füttern,to feed,खाना खिलाना
gang,To be translated,अनुवाद किया जाना है
ganz,quite / whole,काफी / पूरा
geben,to give,देना
geben/sagen),To be translated,अनुवाद किया जाना है
geboren,To be translated,अनुवाद किया जाना है
Geburts-,To be translated,अनुवाद किया जाना है
geehrt-,To be translated,अनुवाद किया जाना है
gefallen,To be translated,अनुवाद किया जाना है
gefährlich,To be translated,अनुवाद किया जाना है
gegen,against / around (time),के खिलाफ / करीब
gegenüber,To be translated,अनुवाद किया जाना है
gehen,to go / walk 🚶,जाना / चलना
geht aus,To be translated,अनुवाद किया जाना है
gehängt,To be translated,अनुवाद किया जाना है
gehören,To be translated,अनुवाद किया जाना है
gelb,yellow 🟡,पीला
genau,exactly,बिल्कुल
Genau!,Exactly!,बिल्कुल सही!
genug,To be translated,अनुवाद किया जाना है
gerade,just now / straight,अभी-अभी
geradeaus,straight ahead ⬆️,सीधे
gern,To be translated,अनुवाद किया जाना है
Gern geschehen,You're welcome,खुशी से
geschieden,divorced,तलाकशुदा
geschlossen,closed,बंद
gestern,yesterday,कल (बीता हुआ)
gestresst,stressed 😫,तनावग्रस्त
gesund,healthy ✅,स्वस्थ
gesund essen,to eat healthy,स्वस्थ खाना
gesund leben,to live healthy,स्वस्थ जीवन जीना
Gesundheit!,Bless you!,भगवान करे!
gewesen,To be translated,अनुवाद किया जाना है
gewinnen,to win,जीतना
gewinnt,To be translated,अनुवाद किया जाना है
gibt ab,To be translated,अनुवाद किया जाना है
gibt aus,To be translated,अनुवाद किया जाना है
glauben,to believe,विश्वास करना
gleich,To be translated,अनुवाद किया जाना है
glücklich,happy 😊,खुश
gratis,free / complimentary,मुफ्त
gratulieren,to congratulate,बधाई देना
grau,gray / grey,धूसर / स्लेटी
grillen,To be translated,अनुवाद किया जाना है
groß,large (L),बड़ा
grün,green 🟢,हरा
gut,good / well,अच्छा
Gute Besserung!,Get well soon!,जल्दी ठीक हो जाओ!
gute Laune,good mood,अच्छा मूड
Gute Nacht,Good night,शुभ रात्रि
Gute Reise,Have a good trip,शुभ यात्रा
Guten Abend,Good evening,शुभ संध्या
Guten Appetit,Enjoy your meal,खाने का आनंद लें
Guten Appetit!,Enjoy your meal! 🍽️,खाना खाइए!
Guten Morgen,Good morning,सुप्रभात
Guten Tag,Good day,नमस्कार
gültig sein,To be translated,अनुवाद किया जाना है
günstig,affordable / good value,किफायती
haben,to have ⭐,रखना
Hallo,Hello,हैलो
Halsschmerzen,sore throat,गले में दर्द
halten,To be translated,अनुवाद किया जाना है
hart,To be translated,अनुवाद किया जाना है
hat abgeholt,To be translated,अनुवाद किया जाना है
hat abgeschlossen,To be translated,अनुवाद किया जाना है
hat angeboten,To be translated,अनुवाद किया जाना है
hat angefangen,To be translated,अनुवाद किया जाना है
hat angemeldet,To be translated,अनुवाद किया जाना है
hat angerufen,To be translated,अनुवाद किया जाना है
hat angesehen,To be translated,अनुवाद किया जाना है
hat aufgehört,To be translated,अनुवाद किया जाना है
hat aufgepasst,To be translated,अनुवाद किया जाना है
hat ausgesehen,To be translated,अनुवाद किया जाना है
hat beantwortet,To be translated,अनुवाद किया जाना है
hat bedeutet,To be translated,अनुवाद किया जाना है
hat begonnen,To be translated,अनुवाद किया जाना है
hat beraten,To be translated,अनुवाद किया जाना है
hat beschwert,To be translated,अनुवाद किया जाना है
hat besichtigt,To be translated,अनुवाद किया जाना है
hat bestanden,To be translated,अनुवाद किया जाना है
hat bestellt,To be translated,अनुवाद किया जाना है
hat diskutiert,To be translated,अनुवाद किया जाना है
hat eingetragen,To be translated,अनुवाद किया जाना है
hat erinnert,To be translated,अनुवाद किया जाना है
hat erlaubt,To be translated,अनुवाद किया जाना है
hat erreicht,To be translated,अनुवाद किया जाना है
hat erzählt,To be translated,अनुवाद किया जाना है
hat gearbeitet,To be translated,अनुवाद किया जाना है
hat gebadet,To be translated,अनुवाद किया जाना है
hat gebraten,To be translated,अनुवाद किया जाना है
hat gebraucht,To be translated,अनुवाद किया जाना है
hat gedacht,To be translated,अनुवाद किया जाना है
hat gedrückt,To be translated,अनुवाद किया जाना है
hat gedurft,To be translated,अनुवाद किया जाना है
hat geduscht,To be translated,अनुवाद किया जाना है
hat geendet,To be translated,अनुवाद किया जाना है
hat gefallen,To be translated,अनुवाद किया जाना है
hat gefehlt,To be translated,अनुवाद किया जाना है
hat gefeiert,To be translated,अनुवाद किया जाना है
hat gefragt,To be translated,अनुवाद किया जाना है
hat gefreut,To be translated,अनुवाद किया जाना है
hat gefunden,To be translated,अनुवाद किया जाना है
hat gegeben,To be translated,अनुवाद किया जाना है
hat gegessen,To be translated,अनुवाद किया जाना है
hat geglaubt,To be translated,अनुवाद किया जाना है
hat gehalten,To be translated,अनुवाद किया जाना है
hat gehangen/,To be translated,अनुवाद किया जाना है
hat geheiratet,To be translated,अनुवाद किया जाना है
